所在区域,西岗区,房屋总价,58,房屋户型,2室1厅1卫,所在楼层,低楼层 (共6层),建筑面积,47.85㎡,户型结构,平层,建筑类型,板楼,房屋朝向,南 北,建筑结构,钢混结构,装修情况,简装,梯户比例,一梯三户,供暖方式,集中供暖,,,,,,,,,,
所在区域,西岗区,房屋总价,79,房屋户型,3室1厅1卫,所在楼层,中楼层 (共7层),建筑面积,58.21㎡,户型结构,暂无数据,建筑类型,板楼,房屋朝向,南 北,建筑结构,混合结构,装修情况,其他,梯户比例,一梯三户,供暖方式,集中供暖,,,,,,,,,,
所在区域,西岗区,房屋总价,179,房屋户型,3室2厅1卫,所在楼层,中楼层 (共7层),建筑面积,129.32㎡,户型结构,平层,套内面积,129㎡,建筑类型,板楼,房屋朝向,南 北,建筑结构,混合结构,装修情况,精装,梯户比例,一梯两户,供暖方式,集中供暖,,,,,,,,
所在区域,西岗区,房屋总价,51.7,房屋户型,2室1厅1卫,所在楼层,高楼层 (共6层),建筑面积,51.77㎡,户型结构,平层,建筑类型,板楼,房屋朝向,东南,建筑结构,砖混结构,装修情况,简装,梯户比例,一梯四户,供暖方式,集中供暖,,,,,,,,,,
所在区域,西岗区,房屋总价,63.9,房屋户型,1室1厅1卫,所在楼层,中楼层 (共7层),建筑面积,65.13㎡,户型结构,平层,建筑类型,板楼,房屋朝向,南,建筑结构,砖混结构,装修情况,简装,梯户比例,一梯二十一户,供暖方式,集中供暖,配备电梯,有,,,,,,,,
所在区域,西岗区,房屋总价,120,房屋户型,2室1厅1卫,所在楼层,中楼层 (共7层),建筑面积,43.98㎡,户型结构,暂无数据,建筑类型,板楼,房屋朝向,东 西,建筑结构,混合结构,装修情况,其他,梯户比例,一梯三户,供暖方式,集中供暖,,,,,,,,,,
所在区域,西岗区,房屋总价,680,房屋户型,8室2厅2卫,所在楼层,低楼层 (共3层),建筑面积,287.7㎡,房屋朝向,东 南 北,建筑结构,框架结构,装修情况,精装,别墅类型,双拼,供暖方式,集中供暖,,,,,,,,,,,,,,
所在区域,西岗区,房屋总价,47,房屋户型,1室0厅1卫,所在楼层,中楼层 (共6层),建筑面积,32.07㎡,户型结构,暂无数据,建筑类型,板楼,房屋朝向,南,建筑结构,混合结构,装修情况,精装,梯户比例,一梯四户,供暖方式,集中供暖,,,,,,,,,,
所在区域,西岗区,房屋总价,99.8,房屋户型,2室2厅1卫,所在楼层,中楼层 (共7层),建筑面积,105.2㎡,户型结构,平层,建筑类型,板楼,房屋朝向,南 北,建筑结构,砖混结构,装修情况,简装,梯户比例,一梯两户,供暖方式,集中供暖,,,,,,,,,,
所在区域,西岗区,房屋总价,72,房屋户型,3室1厅1卫,所在楼层,中楼层 (共6层),建筑面积,61.23㎡,户型结构,平层,建筑类型,板楼,房屋朝向,南 北,建筑结构,混合结构,装修情况,简装,梯户比例,一梯四户,供暖方式,集中供暖,,,,,,,,,,
