所在区域,开发区,房屋总价,30,房屋户型,1室0厅1卫,所在楼层,高楼层 (共16层),建筑面积,43.92㎡,户型结构,平层,建筑类型,塔楼,房屋朝向,东,建筑结构,钢混结构,装修情况,简装,梯户比例,两梯三十七户,供暖方式,集中供暖,配备电梯,有
所在区域,开发区,房屋总价,132,房屋户型,2室2厅2卫,所在楼层,低楼层 (共30层),建筑面积,85.29㎡,户型结构,平层,建筑类型,板楼,房屋朝向,南,建筑结构,框架结构,装修情况,精装,梯户比例,两梯六户,供暖方式,集中供暖,配备电梯,有
所在区域,开发区,房屋总价,56.5,房屋户型,2室1厅1卫,所在楼层,中楼层 (共7层),建筑面积,72.04㎡,户型结构,平层,建筑类型,板楼,房屋朝向,南 北,建筑结构,钢混结构,装修情况,精装,梯户比例,一梯三户,供暖方式,集中供暖
所在区域,开发区,房屋总价,245,房屋户型,3室2厅2卫,所在楼层,高楼层 (共23层),建筑面积,147.52㎡,户型结构,平层,建筑类型,板楼,房屋朝向,南 北,建筑结构,钢混结构,装修情况,精装,梯户比例,两梯四户,供暖方式,集中供暖,配备电梯,有
所在区域,开发区,房屋总价,45,房屋户型,2室1厅1卫,所在楼层,中楼层 (共6层),建筑面积,55.86㎡,户型结构,平层,建筑类型,板楼,房屋朝向,南,建筑结构,砖混结构,装修情况,精装,梯户比例,一梯三户,供暖方式,集中供暖
所在区域,开发区,房屋总价,45,房屋户型,2室1厅1卫,所在楼层,中楼层 (共7层),建筑面积,60.63㎡,户型结构,平层,建筑类型,板楼,房屋朝向,南 北,建筑结构,钢混结构,装修情况,其他,梯户比例,一梯三户,供暖方式,集中供暖
所在区域,开发区,房屋总价,96.8,房屋户型,2室1厅1卫,所在楼层,中楼层 (共26层),建筑面积,78㎡,户型结构,平层,套内面积,78㎡,建筑类型,板楼,房屋朝向,南 北,建筑结构,框架结构,装修情况,简装,梯户比例,一梯三户,供暖方式,集中供暖,配备电梯,有
所在区域,开发区,房屋总价,42,房屋户型,1室1厅1卫,所在楼层,中楼层 (共29层),建筑面积,40.11㎡,户型结构,平层,建筑类型,板楼,房屋朝向,东,建筑结构,钢混结构,装修情况,简装,梯户比例,两梯四户,供暖方式,集中供暖,配备电梯,有
所在区域,开发区,房屋总价,65,房屋户型,2室1厅1卫,所在楼层,低楼层 (共7层),建筑面积,76.7㎡,户型结构,平层,建筑类型,板楼,房屋朝向,南 北,建筑结构,混合结构,装修情况,其他,梯户比例,一梯两户,供暖方式,集中供暖
所在区域,开发区,房屋总价,80,房屋户型,2室1厅1卫,所在楼层,高楼层 (共32层),建筑面积,63.39㎡,户型结构,平层,建筑类型,塔楼,房屋朝向,南 西,建筑结构,钢混结构,装修情况,其他,梯户比例,六梯二十三户,供暖方式,集中供暖,配备电梯,有
所在区域,开发区,房屋总价,61.5,房屋户型,2室1厅1卫,所在楼层,低楼层 (共31层),建筑面积,62.6㎡,户型结构,平层,建筑类型,板楼,房屋朝向,南 北,建筑结构,钢混结构,装修情况,简装,梯户比例,两梯三户,供暖方式,集中供暖,配备电梯,有
所在区域,开发区,房屋总价,102.5,房屋户型,2室1厅1卫,所在楼层,中楼层 (共28层),建筑面积,89.12㎡,户型结构,平层,建筑类型,板楼,房屋朝向,南 北,建筑结构,框架结构,装修情况,毛坯,梯户比例,两梯三户,供暖方式,集中供暖,配备电梯,有
所在区域,开发区,房屋总价,36,房屋户型,1室1厅1卫,所在楼层,高楼层 (共33层),建筑面积,41.79㎡,户型结构,平层,建筑类型,塔楼,房屋朝向,南,建筑结构,钢混结构,装修情况,简装,梯户比例,三梯十八户,供暖方式,集中供暖,配备电梯,有
所在区域,开发区,房屋总价,77.5,房屋户型,2室1厅1卫,所在楼层,中楼层 (共18层),建筑面积,78㎡,户型结构,平层,套内面积,78㎡,建筑类型,板楼,房屋朝向,南 北,建筑结构,钢混结构,装修情况,简装,梯户比例,一梯三户,供暖方式,集中供暖,配备电梯,有
所在区域,开发区,房屋总价,83,房屋户型,2室2厅1卫,所在楼层,高楼层 (共33层),建筑面积,73.6㎡,户型结构,平层,建筑类型,板楼,房屋朝向,南 北,建筑结构,框架结构,装修情况,精装,梯户比例,两梯三户,供暖方式,集中供暖,配备电梯,有
